SequenceId,HeaderSequenceId,FontSize,FontAttribute,TextWrap,FontAlign,SpaceBefore,AdditionalData,ContentType,Content
1,-1,,,,,,,MH,മുപ്പതു ദിവസം കൊണ്ട്‌ യൗസേപ്പിതാവിനൊരു മേലങ്കി
2,-1,,,,,,,MH,വിശുദ്ധ യൗസേപ്പിതാവിന്‍റെ സ്തുതിക്കായുള്ള പ്രാർത്ഥനാമഞ്ജരി
3,1,20,,,,,,H,ആമുഖം
4,1,18,,,Right,,,P,വിശുദ്ധ യൗസേപ്പിതാവിനെ ബഹുമാനിക്കുന്നതിനൊപ്പം ആ വലിയ വിശുദ്ധന്‍റെ അനുഗ്രഹത്തിനും പാലനത്തിനും പാത്രമാകുവാനും ഈ പ്രാർത്ഥനാമഞ്ജരി പ്രത്യേക വിധത്തിൽ നമ്മെ സഹായിക്കുന്നു.
5,1,18,,,Right,,,P,"ദൈവപുത്രനായ ഈശോയോടൊപ്പം യൗസേപ്പിതാവ് മുപ്പതുവർഷം ജീവിച്ചതിന്‍റെ ഓർമ്മയ്ക്കായി,  തുടർച്ചയായി മുപ്പതു ദിവസം ഈ പ്രാർത്ഥന ചൊല്ലണം."
6,1,18,,,Right,,,P,ഏതെങ്കിലും കാരണത്താൽ ഇടയ്ക്കു ചൊല്ലാതിരുന്നാൽ മുപ്പതാം ദിവസം അവ ചൊല്ലി തീർക്കാവുന്നതാണ്.
7,1,18,,,Right,,,P,"ഈ പ്രാർത്ഥനവഴി ലഭിക്കുന്ന ദൈവ കൃപ അനന്യസാധാരണമാണ്. വി.അമ്മത്രേസ്യ പറയുന്നു ""..യഥാർത്ഥത്തിൽ നിങ്ങൾക്കു ഈ പ്രാർത്ഥനയുടെ  ഫലത്തെ കുറിച്ച്  വിശ്വാസം വരണമെങ്കില്‍ സ്വയം ചൊല്ലി തന്നെ തെളിയിക്കുക- അവസാനം നിങ്ങൾക്കത് ബോദ്ധ്യമാകും."""
8,1,18,,,Right,,,P,ആവശ്യങ്ങൾ നേടിയെടുക്കാൻ എന്നതിനേക്കാൾ വി.യൗസേപ്പിതാവിനു  നമ്മെത്തന്നെ പൂർണ്ണമായി സമർപ്പിക്കാനാണ് ഈ പ്രാർത്ഥന സഹായിക്കുന്നത്. ശുദ്ധീകരണ സ്ഥലത്തെ ആത്മാക്കൾക്കായി പ്രാർത്ഥിക്കാനും ഈ പ്രാർത്ഥനാമഞ്ജരി സഹായിക്കുന്നു.
9,1,18,,,Right,,,P,ശുദ്ധീകരണസ്ഥലത്തു സഹിക്കുന്ന ആത്മാക്കളുടെ കണ്ണീരൊപ്പാൻ നാമെടുക്കുന്ന  അതേ തീക്ഷണതയോടെ ആവശ്യഘട്ടങ്ങളിൽ നമ്മുടെ കണ്ണുനീർ തുടയ്ക്കാൻ യൗസേപ്പിതാവ് നമ്മെ സഹായിക്കുമെന്ന് നമുക്ക് പ്രത്യാശിക്കാം. നമ്മെ ചുറ്റിവരിയുന്ന എല്ലാ അപകടങ്ങളിൽ നിന്നും ഒരു പരിചപോലെ ഈ പ്രാർത്ഥനാ മഞ്ജരി നമ്മെ സംരക്ഷിക്കും. അങ്ങനെ ഒരു ദിവസം നാം എല്ലാവരും ദൈവകൃപയാൽ നിത്യരക്ഷയുടെ കവാടങ്ങൾ കടക്കുകയും ചെയ്യും. 
10,1,18,,,Right,,,P,ഈശോയും പരിശുദ്ധ കന്യകാമറിയവും യൗസേപ്പിതാവിനെ സ്നേഹിക്കാനും ബഹുമാനിക്കാനും ഈ പിതാവിനോട് പ്രാർത്ഥിക്കുവാനും എല്ലാ ക്രിസ്ത്യാനികളെയും ക്ഷണിക്കുന്നു.
11,1,18,,,Right,,,P,"ഈശോ മാർഗ്ഗരീത്താ പുണ്യവതിയോടു പറഞ്ഞു: ‘’നിങ്ങൾ എല്ലാ ദിവസവും എന്‍റെ അമ്മയ്ക്കും സ്നേഹസമ്പന്നനായ എന്‍റെ  സംരക്ഷകൻ വിശുദ്ധ ജോസഫിനും പ്രാർത്ഥന അർപ്പിക്കുവാൻ ഞാൻ ആഗ്രഹിക്കുന്നു."""
12,1,18,,,Right,,,P,"പരിശുദ്ധ അമ്മ ദൈവദാസി ദഗ്രീദായോടു പറഞ്ഞു: ""ഈ വലിയ വിശുദ്ധനോടുള്ള സ്നേഹവും ഭക്തിയും നിരന്തരം വർദ്ധിപ്പിക്കുവാൻ  നീ ശ്രദ്ധിക്കണം. നിന്‍റെ എല്ലാ ആവശ്യങ്ങളിലും അദ്ദേഹത്തിന്‍റെ സംരക്ഷണം പ്രയോജനപ്പെടുത്തണം. എല്ലാ സാഹചര്യത്തിലും ആവുന്നത്ര ആളുകളെ ഈ ഭക്തിയിലേക്കു പ്രോത്സാഹിപ്പിക്കുകയും വേണം. കാരണം എന്‍റെ സമർപ്പിതനായ ഭർത്താവ് എന്തു ചോദിച്ചാലും ദൈവം അത് ഭൂമിയിൽ അനുവദിക്കും."""
13,1,,,,,,F,Sound,page test1.mp3
14,1,,,,,,F,Sound,page test2.mp3
15,1,,,,,,F,Sound,page test3.mp3
16,2,20,,,,,,H,പ്രാർത്ഥനകൾ 
17,2,18,,,Right,,,P,പിതാവിന്‍റെയും പുത്രന്‍റെയും പരിശുദ്ധാത്മാവിന്‍റെയും നാമത്തിൽ. ആമ്മേൻ.
18,2,18,,,Right,,,P,"ഈശോ മറിയം യൗസേപ്പേ,  എന്‍റെ ഹൃദയവും ആത്മാവും ഞാൻ സമർപ്പിക്കുന്നു."
19,2,18,,,Right,,,P,പിതാവിനും പുത്രനും പരിശുദ്ധാത്മാവിനും സ്തുതി...ആദിമുതൽ എന്നേയ്ക്കും ആമ്മേൻ
20,2,16,Bold,Normal,Left,,,P,(3 പ്രാവശ്യം)
21,2,15,Italics,Normal,Right,,,P,(വി.യൗസേപ്പിതാവിനെ എത്ര സമുന്നതമായ സമക്ഷത്തിലേക്കു ഉയർത്തിയതിന് പ.ത്രിത്വത്തിനോടുള്ള നന്ദിയായി ത്രിത്വസ്തുതി മൂന്നു പ്രാവശ്യം ചൊല്ലുന്നു).
22,2,,,,,,F,Sound,Page2 - Content1.mp3
23,3,20,,,,,,H,സമർപ്പണം
24,3,18,,Normal,Right,,1,P_Bullet,"എത്രയും വല്ലഭനായ വിശുദ്ധ യൗസേപ്പിതാവേ, ഞാൻ അങ്ങയെ താണു വണങ്ങുന്നു. കർത്താവായ ഈശോയോടും അമലോത്ഭവയായ പരിശുദ്ധ കന്യകാ മറിയത്തിനോടും സ്വർഗ്ഗത്തിലെ സകല മാലാഖമാരോടും വിശുദ്ധരോടും ഈ സമർപ്പണത്തിൽ എന്നോടൊപ്പമുണ്ടാകണമെന്നു ഞാൻ അപേക്ഷിക്കുന്നു. ആത്മാർത്ഥമായ വിശ്വാസവും ഭക്തിയും ഏറ്റു പറഞ്ഞു കൊണ്ട് ഞാൻ ഈ പ്രാർത്ഥനകൾ അങ്ങേയ്ക്കു സമർപ്പിക്കുന്നു. അങ്ങയോടുള്ള എന്‍റെ സ്നേഹം തെളിയിക്കുവാൻ എന്‍റെ ജീവിതകാലം മുഴുവൻ അങ്ങയുടെ മഹത്വത്തിനായി കഴിവുള്ളതെല്ലാം ചെയ്തു കൊള്ളാമെന്ന് ഞാൻ പ്രതിജ്ഞ ചെയുന്നു."
25,3,18,,Normal,Right,,,P_Bullet,"വി.യൗസേപ്പിതാവേ, എന്നെ സഹായിക്കേണമേ! ഇപ്പോഴും എപ്പോഴും എന്‍റെ ജീവിതകാലം മുഴുവനും എന്നെ സഹായിക്കേണമേ! അങ്ങയുടെ മരണ സമയത്തു ഈശോയും പരിശുദ്ധ അമ്മയും കൂടെയുണ്ടായിരുന്നത് പോലെ എന്‍റെ മരണ സമയത്തു അങ്ങ് എന്‍റെ കൂടെ ഉണ്ടാകണമേ. അങ്ങനെ സ്വർഗത്തിൽ അങ്ങയോടു ചേരാനും അവിടെ നിരന്തര കാലത്തേക്ക് അങ്ങയെ ബഹുമാനിക്കുവാനും എനിക്ക് ഇടവരുത്തേണമേ! ആമ്മേൻ."
26,3,18,,Normal,Right,,2,P_Bullet,"എത്രയും ശോഭയുള്ള ഞങ്ങളുടെ പിതാവായ മാർ യൗസേപ്പേ, അങ്ങയുടേയും അവിടുത്തെ ദിവ്യസുതൻ ഈശോയുടെയും മുമ്പിൽ ഞാൻ കുമ്പിട്ടുവണങ്ങുന്നു. അങ്ങിൽ വിളങ്ങുന്ന അളവറ്റ സുകൃതങ്ങളെ ഓർത്തുകൊണ്ട് ഈ പ്രാത്ഥനകളെ ഭക്തിപൂർവ്വം ഞാൻ അർപ്പിക്കുന്നു. നല്ലയപ്പാ, അങ്ങയുടെ മുന്നോടിയായ പൂർവ്വജോസഫിന്‍റെ സ്വപ്നം അങ്ങയിൽ പൂർത്തീകരിക്കപ്പെട്ടിരിക്കുന്നുവല്ലോ. ദിവ്യസൂര്യനായ ഈശോയുടെ ഉജ്ജ്വല കിരണങ്ങളാൽ അങ്ങ് വലയം ചെയ്യപ്പെട്ടിരിക്കുന്നു. കൂടാതെ പരിശുദ്ധ കന്യകാമറിയത്തിൽ നിന്നൊഴുകുന്ന സുന്ദരമായ ചന്ദ്രികയാൽ അങ്ങ് ശോഭയോടെ വിളങ്ങുകകൂടി ചെയ്യുന്നു. പൂർവ്വയാക്കോബ് ഈജിപ്തിലെ സിംഹാസനത്തിലിരിക്കുന്ന പ്രിയമകനെ കണ്ട് അഭിനന്ദിക്കുവാൻ പുറപ്പെട്ടത് അദ്ദേഹത്തിന്‍റെ  മുഴുവൻ സന്തതികളെയും അവിടെ എത്തിക്കുവാൻ സഹായകരമായതു പോലെ, ഈശോയും പരി. കന്യകാമറിയവും അങ്ങയോടു കാട്ടുന്ന ഉന്നതമായ ആദരവും വിശ്വാസവും ഈ എളിയ ദാസന് വലിയ മാതൃകയായി തീർന്നിരിക്കുന്നു. ഈ പ്രാർത്ഥനാമഞ്ജരിവഴി ഞാൻ അങ്ങയെ ആദരിക്കുവാൻ പരിശ്രമിക്കുന്നു. വി.യൗസേപ്പിതാവേ, സർവ്വശക്‌തനായ ദൈവം തന്‍റെ  കൃപാകടാക്ഷം എന്നിൽ ചൊരിയുവാൻ അനുവദിക്കണേ! പൂർവ്വജോസഫ് കുറ്റക്കാരായ തന്‍റെ  സഹോദരങ്ങളെ തള്ളാതെ സ്നേഹപൂർവ്വം സ്വീകരിച്ച് വിശപ്പിൽ നിന്നും മരണത്തിൽ നിന്നും സംരക്ഷിച്ചത് പോലെ, പ്രിയപിതാവേ, അങ്ങയുടെ മാദ്ധ്യസ്ഥത്താൽ എന്നെയും രക്ഷിക്കണമേ. കണ്ണുനീരിന്‍റെ  ഈ പ്രവാസ ഭൂമിയിൽ ദൈവമെന്നെ ഉപേക്ഷിക്കാൻ ഇടവരുത്തരുതേ...എന്‍റെ ജീവിതത്തിലെ ഓരോ ദിവസവും പ്രത്യേകിച്ചും, എന്‍റെ മരണസമയത്തും അങ്ങയുടെ പിതൃതുല്യമായ സംരക്ഷണയ്ക്ക് കീഴിലായിരിക്കുവാൻ എന്നെ അനുവദിക്കേണമേ."
27,3,18,Bold,Normal,Left,,,P,ആമ്മേൻ!
28,3,,,,,,F,Sound,Page3 - Content1.mp3
29,3,,,,,,F,Sound,Page3 - Content2.mp3
30,4,20,,,,,,H,അപേക്ഷകൾ
31,4,18,,Normal,Right,,1,P_Bullet,"മഹത്വപൂർണ്ണനായ  വി.യൗസേപ്പിതാവേ സ്വസ്തി! സ്വർഗ്ഗത്തിലെയും ഭൂമിയിലെയും  വില പിടിച്ച നിധികളൊക്കെയും അങ്ങയെയാണല്ലോ ഏൽപ്പിച്ചിരിക്കുന്നത്. കാരണം, ലോകത്തിലെ സകല ചരാചരങ്ങളെയും പോറ്റുന്നവന്‍റെ വളർത്തു പിതാവ് അങ്ങാണല്ലോ. ഞങ്ങളുടെ ഭക്തിക്കും സ്നേഹത്തിനും ഏറ്റവും അർഹനായ വിശുദ്ധൻ, പരി. അമ്മ കഴിഞ്ഞാൽ അങ്ങ് തന്നെ ആണ്. എത്രയോ രാജാക്കന്മാരും പ്രവാചകന്മാരും കാണുവാനാഗ്രഹിച്ച ദൈവപുത്രനെ, തീറ്റിപൊറ്റി വളർത്തുന്നതിനും നയിക്കുന്നതിനും ആലിംഗനം ചെയുന്നതിനു പോലും സകല വിശുദ്ധന്മാരെയും മറികടന്ന് ദൈവം അങ്ങയെ തിരഞ്ഞെടുത്തു."
